Level Time x y
Selected: 
1 2.167231 0.2 0.115
1 3.28592 0.2125 0.1183494
1 18.34114 0.21 0.1226795
1 19.15871 0.23 0.14
1 21.57392 0.22 0.14
1 25.03238 0.2259808 0.125
1 26.10572 0.2216506 0.1275
1 34.74684 0.215 0.14
1 36.14273 0.2129904 0.1325
1 37.95156 0.2216506 0.1525
1 38.46565 0.2 0.11
1 44.74013 0.1925 0.1529904
1 45.88776 0.225 0.14
1 48.55396 0.2043301 0.1425
1 49.13045 0.2173205 0.13
1 49.90524 0.2 0.12
1 50.64309 0.215 0.1140192
1 52.41026 0.195 0.14
1 52.8898 0.22 0.14
1 56.17903 0.2125 0.1616506
1 57.47762 0.23 0.14
1 58.05856 0.1826795 0.13
1 59.35014 0.1956699 0.1375
1 60.03827 0.205 0.14
1 61.1827 0.1975 0.1356699
1 62.11498 0.2129904 0.1475
1 62.73832 0.2086603 0.135
1 62.93132 0.2 0.125
1 64.11933 0.2173205 0.15
1 65.09658 0.1956699 0.1425
1 66.68861 0.2259808 0.155
1 67.35633 0.225 0.14
1 70.32633 0.2025 0.1356699
1 73.03138 0.185 0.1140192
1 74.19565 0.21 0.14
1 74.85479 0.21 0.14
1 76.81633 0.2075 0.1270096
1 77.64271 0.205 0.1313397
1 79.83314 0.1925 0.1270096
1 97.55343 0.215 0.14
1 100.5499 0.215 0.14

Stage 2 start:94.21545
Sorted: 
1 101.3547 0.215 0.14

Let through: 
1 0.2086603 0.145
1 0.205 0.14
1 0.2 0.135
1 0.2 0.17
1 0.2043301 0.1375
1 0.1783494 0.1275
1 0.2 0.165
1 0.185 0.14
1 0.2 0.15
1 0.215 0.1659808
1 0.2 0.16
1 0.1875 0.1183494
1 0.17 0.14
1 0.19 0.14
1 0.2 0.13
1 0.175 0.14
1 0.18 0.14
1 0.2 0.145
1 0.19 0.1226795
1 0.1913397 0.135
1 0.185 0.1659808
1 0.1740192 0.125
1 0.1826795 0.15
1 0.2025 0.1443301
1 0.195 0.1313397
1 0.1870096 0.1325
1 0.2 0.155
1 0.21 0.1573205
1 0.1913397 0.145
1 0.1870096 0.1475
1 0.1783494 0.1525
1 0.1875 0.1616506
1 0.195 0.1486603
1 0.1740192 0.155
1 0.19 0.1573205
1 0.205 0.1486603
1 0.2075 0.1529904
1 0.1975 0.1443301


